Spread Pair,Zeta,j (exit),g (entry),l (stop),N,M,Sharpe,Return (%),Max DD (%),Win Rate (%),Trades/Day,Stop Losses
Binance-Coinbase,0.0001,0.2320703554413181,0.24801895871004928,4.0510295771380385,92,276,132.2416152660317,0.3135663249999743,0.0008576709308425233,92.52873563218391,87.0,0
Coinbase-OKX,0.0,0.14750392113897126,0.42062026564074473,7.577525429412842,55,97,317.9344287249172,1.6968749999999093,3.692003698259906e-05,99.86187845303867,362.0,0
Coinbase-OKX,0.0001,0.15028092049241298,0.1689273946245302,19.965278419725628,92,319,127.97295235109225,0.32561228062508235,0.0005414859779577673,95.80838323353294,83.5,0
